application_id,applicant_name,applicant_age,gender,monthly_income,loan_amount_requested,loan_purpose,employment_type,credit_score,existing_loans_count,loan_tenure_months,interest_rate_pct,bank_name,application_date,approval_status,default_status,city
LN813050,Applicant Singh,25,M,142292,1250000,Loan Against Property,Freelancer,870,,240,,ICICI Bank,1/1/2021,Approved,No,Mumbai
LN991166,Applicant Kumar,63,F,17967,189000,Business Loan,Business Owner,637,2,84,11.97,IndusInd Bank,1/1/2021,Rejected,Yes,pune
LN443532,Applicant Verma,38,M,16733,123000,Car Loan,Homemaker,795,1,120,12.86,Yes Bank,1/1/2021,Approved,No,New Delhi
LN431035,Applicant Joshi,46,M,43994,236000,car loan,,463,1,48,18.87,Bank of Baroda,1/1/2021,Rejected,Yes,Chennai
LN254599,Applicant Verma,30,M,34795,337000,Personal Loan,salaried,788,2,60,9.33,IndusInd Bank,2/1/2021,Approved,No,Pune
LN349394,Applicant Joshi,26,M,46438,216000,HOME LOAN,Homemaker,599,3,240,20.49,ICICI Bank,2/1/2021,Pending,NA,Lucknow
LN449722,Applicant Yadav,34,M,15260,167000,Home loan,salaried,634,,180,23.15,SBI,1/2/2021,Rejected,Yes,Ahmedabad
LN951464,Applicant Patel,22,F,34944,95000,Car Loan,Self-Employed,621,1,24,18.11,ICICI Bank,2/1/2021,Approved,No,Jaipur
LN526360,Applicant Reddy,47,F,44818,464000,Personal Loan,Self Employed,410,2,180,8.69,Bank of Baroda,3/1/2021,Rejected,Yes,New Delhi
LN651333,Applicant Verma,29,M,16528,48000,Car Loan,Retired,790,1,36,11.44,SBI,1/3/2021,Approved,No,New Delhi
LN911939,Applicant Reddy,33,M,62913,161000,Two Wheeler Loan,Self-Employed,713,3,24,9.11,Kotak Mahindra,3/1/2021,Approved,No,Pune
LN593371,Applicant Singh,41,M,430104,2423000,Education Loan,Govt Employee,449,3,24,12.6,Federal Bank,4/1/2021,Rejected,Yes,Chennai
LN551323,Applicant Mehta,64,F,56723,656000,Business Loan,salaried,568,2,48,23,Kotak Mahindra,1/4/2021,Rejected,Yes,Hyderabad
LN825736,Applicant Sharma,22,M,19858,235000,Education Loan,Self-Employed,845,0,12,13.43,ICICI Bank,4/1/2021,Approved,No,New Delhi
LN110458,Applicant Kumar,23,F,136481,549000,personal loan,,552,4,60,10.54,Federal Bank,4/1/2021,Rejected,Yes,New Delhi
LN530136,Applicant Reddy,33,M,77054,269000,Home loan,Homemaker,673,3,120,18.42,Canara Bank,1/5/2021,Approved,No,New Delhi
LN907598,Applicant Gupta,41,M,59259,328000,Gold Loan,Self Employed,828,3,24,22.34,SBI,5/1/2021,Approved,No,Chennai
LN661265,Applicant Mehta,53,F,88605,476000,Home loan,Self-Employed,714,4,60,8.07,IndusInd Bank,5/1/2021,Approved,No,pune
LN433529,Applicant Gupta,40,M,49426,474000,Gold Loan,self-employed,807,,48,18.53,Federal Bank,1/6/2021,Rejected,Yes,Bengaluru
LN947093,Applicant Verma,56,F,21530,139000,car loan,,629,1,84,12.27,IDFC First Bank,6/1/2021,Rejected,Yes,Jaipur
