application_id,applicant_name,applicant_age,gender,monthly_income,loan_amount_requested,loan_purpose,employment_type,credit_score,existing_loans_count,loan_tenure_months,interest_rate_pct,bank_name,application_date,approval_status,default_status,city
LN813050,Applicant Singh,25,Male,142292,1250000.0,Loan Against Property,Freelancer,870,,240,,ICICI Bank,2021-01-01,Approved,No,Mumbai
LN991166,Applicant Kumar,63,Female,17967,189000.0,Business Loan,Business Owner,637,2.0,84,11.97,IndusInd Bank,01-01-2021,Rejected,Yes,pune
LN443532,Applicant Verma,38,M,16733,123000.0,Car Loan,Homemaker,795,1.0,120,12.86,Yes Bank,01/01/2021,Approved,No,delhi
LN431035,Applicant Joshi,46,Male,43994,236000.0,car loan,,463,1.0,48,18.87,Bank of Baroda,2021-01-01,Rejected,Yes,Chennai
LN254599,Applicant Verma,30,M,34795,337000.0,Personal Loan,salaried,788,2.0,60,9.33,IndusInd Bank,02-01-2021,Approved,No,Pune
LN349394,Applicant Joshi,26,Male,46438,216000.0,HOME LOAN,Homemaker,599,3.0,240,20.49,ICICI Bank,02/01/2021,Pending,NA,Lucknow
LN449722,Applicant Yadav,34,Male,15260,167000.0,Home loan,salaried,634,,180,23.15,SBI,2021-01-02,Rejected,Yes,Ahmedabad
LN951464,Applicant Patel,22,Female,34944,95000.0,Car Loan,Self-Employed,621,1.0,24,18.11,ICICI Bank,02-01-2021,Approved,No,Jaipur
LN526360,Applicant Reddy,47,Female,44818,464000.0,Personal Loan,Self Employed,410,2.0,180,8.69,Bank of Baroda,03/01/2021,Rejected,Yes,Delhi
LN651333,Applicant Verma,29,male,16528,48000.0,Car Loan,Retired,790,1.0,36,11.44,SBI,2021-01-03,Approved,No,DELHI
LN911939,Applicant Reddy,33,Male,62913,161000.0,Two Wheeler Loan,Self-Employed,713,3.0,24,9.11,Kotak Mahindra,03-01-2021,Approved,No,Pune
LN593371,Applicant Singh,41,Male,430104,2423000.0,Education Loan,Govt Employee,449,3.0,24,12.6,Federal Bank,04/01/2021,Rejected,Yes,Chennai
LN551323,Applicant Mehta,64,F,56723,656000.0,Business Loan,salaried,568,2.0,48,23.0,Kotak Mahindra,2021-01-04,Rejected,Yes,Hyderabad
LN825736,Applicant Sharma,22,Male,19858,235000.0,Education Loan,Self-Employed,845,0.0,12,13.43,ICICI Bank,04-01-2021,Approved,No,New Delhi
LN110458,Applicant Kumar,23,Female,136481,549000.0,personal loan,,552,4.0,60,10.54,Federal Bank,04/01/2021,Rejected,Yes,delhi
LN530136,Applicant Reddy,33,male,77054,269000.0,Home loan,Homemaker,673,3.0,120,18.42,Canara Bank,2021-01-05,Approved,No,Delhi
LN907598,Applicant Gupta,41,Male,59259,328000.0,Gold Loan,Self Employed,828,3.0,24,22.34,SBI,05-01-2021,Approved,No,Chennai
LN661265,Applicant Mehta,53,F,88605,476000.0,Home loan,Self-Employed,714,4.0,60,8.07,IndusInd Bank,05/01/2021,Approved,No,pune
LN433529,Applicant Gupta,40,Male,49426,474000.0,Gold Loan,self-employed,807,,48,18.53,Federal Bank,2021-01-06,Rejected,Yes,Bangalore
LN947093,Applicant Verma,56,Female,21530,139000.0,car loan,,629,1.0,84,12.27,IDFC First Bank,06-01-2021,Rejected,Yes,Jaipur
LN671866,Applicant Mehta,38,Female,217069,2127000.0,Car Loan,Government Employee,626,2.0,12,13.67,IDFC First Bank,06/01/2021,Rejected,Yes,Bengaluru
LN572882,Applicant Reddy,45,Female,18440,175000.0,Car Loan,Business Owner,888,,12,11.41,Bank of Baroda,2021-01-06,Approved,No,pune
LN835289,Applicant Verma,58,Female,202775,1578000.0,Car Loan,Self Employed,881,0.0,24,22.45,SBI,07-01-2021,Approved,No,Lucknow
LN118735,Applicant Patel,45,Female,332164,3433000.0,personal loan,freelancer,556,4.0,48,22.12,HDFC Bank,07/01/2021,Approved,No,Chennai
LN250501,Applicant Mehta,58,male,438808,1736000.0,HOME LOAN,Homemaker,555,0.0,12,17.48,HDFC Bank,2021-01-07,Rejected,Yes,Pune
LN930778,Applicant Singh,35,female,323306,1170000.0,Home loan,Self-Employed,683,0.0,60,7.77,IDFC First Bank,08-01-2021,Rejected,Yes,Bengaluru
LN502507,Applicant Reddy,37,female,25817,245000.0,car loan,Govt Employee,692,4.0,84,23.12,SBI,08/01/2021,Approved,No,Delhi
LN667598,Applicant Mehta,56,male,22574,100000.0,Loan Against Property,Government Employee,871,4.0,48,15.21,SBI,2021-01-08,Approved,Yes,Hyderabad
LN127534,Applicant Patel,49,male,47905,97000.0,Personal Loan,salaried,581,,120,15.57,Yes Bank,08-01-2021,Rejected,Yes,mumbai
LN384270,Applicant Patel,53,male,404968,4503000.0,Education Loan,Govt Employee,645,4.0,60,20.25,HDFC Bank,09/01/2021,Approved,No,Mumbai
LN396559,Applicant Gupta,52,Male,19171,158000.0,Medical Emergency Loan,,700,4.0,240,17.63,Punjab National Bank,2021-01-09,Approved,No,Ahmedabad
LN341223,Applicant Verma,28,Male,54058,349000.0,HOME LOAN,Freelancer,833,3.0,240,9.5,Kotak Mahindra,09-01-2021,Approved,No,Pune
LN992792,Applicant Sharma,63,Male,42329,392000.0,Car Loan,Self-Employed,383,1.0,48,9.24,Kotak Mahindra,10/01/2021,Rejected,Yes,Mumbai
